time_unix,monotonic,voltage_24v,current_24v,voltage_12v,current_12v,voltage_5v,current_5v
1778616471.943,6768.952,0.0,0.0,0.0,0.0,0.0,0.0
1778616472.946,6769.955,0.0,0.0,0.0,0.0,0.0,0.0
1778616473.949,6770.958,0.0,0.0,0.0,0.0,0.0,0.0
1778616474.952,6771.961,0.0,0.0,0.0,0.0,0.0,0.0
1778616475.955,6772.964,0.0,0.0,0.0,0.0,0.0,0.0
1778616476.958,6773.967,0.0,0.0,0.0,0.0,0.0,0.0
1778616477.961,6774.970,0.0,0.0,0.0,0.0,0.0,0.0
1778616478.964,6775.973,0.0,0.0,0.0,0.0,0.0,0.0
1778616479.967,6776.976,0.0,0.0,0.0,0.0,0.0,0.0
1778616480.970,6777.979,0.0,0.0,0.0,0.0,0.0,0.0
1778616481.973,6778.982,0.0,0.0,0.0,0.0,0.0,0.0
1778616482.976,6779.985,0.0,0.0,0.0,0.0,0.0,0.0
1778616483.979,6780.988,0.0,0.0,0.0,0.0,0.0,0.0
1778616484.982,6781.991,0.0,0.0,0.0,0.0,0.0,0.0
1778616485.935,6782.944,0.0,0.0,0.0,0.0,0.0,0.0
1778616486.938,6783.947,0.0,0.0,0.0,0.0,0.0,0.0
1778616487.941,6784.950,0.0,0.0,0.0,0.0,0.0,0.0
1778616488.944,6785.953,0.0,0.0,0.0,0.0,0.0,0.0
1778616489.947,6786.956,0.0,0.0,0.0,0.0,0.0,0.0
1778616490.950,6787.959,0.0,0.0,0.0,0.0,0.0,0.0
1778616491.953,6788.962,0.0,0.0,0.0,0.0,0.0,0.0
1778616492.956,6789.965,0.0,0.0,0.0,0.0,0.0,0.0
